"benchmark_id","agent_id","level","passed","evaluated","pass_rate"
"","","L0","9","39","0.230769"
"","","L1","9","39","0.230769"
"","gru","L0","8","31","0.258065"
"","gru","L1","8","31","0.258065"
"","sweagent","L0","1","8","0.125000"
"","sweagent","L1","1","8","0.125000"
"swe_bench_verified","","L0","6","15","0.400000"
"swe_bench_verified","","L1","6","15","0.400000"
"swe_bench_verified","gru","L0","6","15","0.400000"
"swe_bench_verified","gru","L1","6","15","0.400000"
"swe_bench_live","","L0","3","24","0.125000"
"swe_bench_live","","L1","3","24","0.125000"
"swe_bench_live","gru","L0","2","16","0.125000"
"swe_bench_live","gru","L1","2","16","0.125000"
"swe_bench_live","sweagent","L0","1","8","0.125000"
"swe_bench_live","sweagent","L1","1","8","0.125000"
