row_kind,agent_id,removed_task_id,live_passed,live_evaluated,live_pass_rate,delta_vs_static,min_live_pass_rate_loo,max_live_pass_rate_loo,min_delta_loo,max_delta_loo
loo_detail,gru,Pyomo__pyomo-3588,1,7,0.14285714285714285,-0.2571428571428572,,,,
loo_detail,gru,apify__crawlee-python-1181,1,7,0.14285714285714285,-0.2571428571428572,,,,
loo_detail,gru,feature-engine__feature_engine-856,1,7,0.14285714285714285,-0.2571428571428572,,,,
loo_detail,gru,fsspec__filesystem_spec-1829,1,7,0.14285714285714285,-0.2571428571428572,,,,
loo_detail,gru,jlowin__fastmcp-279,1,7,0.14285714285714285,-0.2571428571428572,,,,
loo_detail,gru,networktocode__ntc-templates-2118,1,7,0.14285714285714285,-0.2571428571428572,,,,
loo_detail,gru,networkx__networkx-8013,0,7,0.0,-0.4,,,,
loo_detail,gru,pyca__cryptography-12812,1,7,0.14285714285714285,-0.2571428571428572,,,,
loo_detail,honeycomb,Pyomo__pyomo-3588,1,3,0.3333333333333333,-0.06666666666666671,,,,
loo_detail,honeycomb,jlowin__fastmcp-279,1,3,0.3333333333333333,-0.06666666666666671,,,,
loo_detail,honeycomb,networktocode__ntc-templates-2118,1,3,0.3333333333333333,-0.06666666666666671,,,,
loo_detail,honeycomb,networkx__networkx-8013,0,3,0.0,-0.4,,,,
loo_detail,sweagent,apify__crawlee-python-1181,0,3,0.0,-0.4,,,,
loo_detail,sweagent,feature-engine__feature_engine-856,0,3,0.0,-0.4,,,,
loo_detail,sweagent,fsspec__filesystem_spec-1829,0,3,0.0,-0.4,,,,
loo_detail,sweagent,pyca__cryptography-12812,0,3,0.0,-0.4,,,,
loo_summary,gru,,,,,,0.0,0.14285714285714285,-0.4,-0.2571428571428572
loo_summary,honeycomb,,,,,,0.0,0.3333333333333333,-0.4,-0.06666666666666671
loo_summary,sweagent,,,,,,0.0,0.0,-0.4,-0.4
